,经度,纬度,连接顺序,块,名称
399,120.878082,31.095758,55.0,10.0,上海市
400,120.878238,31.096211,56.0,10.0,上海市
401,120.878966,31.098384,57.0,10.0,上海市
402,120.87601,31.097862,58.0,10.0,上海市
403,120.876634,31.099942,59.0,10.0,上海市
404,120.873886,31.100449,60.0,10.0,上海市
405,120.873175,31.100317,61.0,10.0,上海市
406,120.872542,31.098887,62.0,10.0,上海市
407,120.871433,31.099312,63.0,10.0,上海市
408,120.869812,31.098942,64.0,10.0,上海市
409,120.869578,31.097221,65.0,10.0,上海市
410,120.865747,31.097624,66.0,10.0,上海市
411,120.864499,31.098368,67.0,10.0,上海市
412,120.863996,31.100303,68.0,10.0,上海市
413,120.862757,31.100119,69.0,10.0,上海市
414,120.862064,31.101049,70.0,10.0,上海市
415,120.859768,31.100284,71.0,10.0,上海市
416,120.858554,31.100842,72.0,10.0,上海市
417,120.856804,31.102831,73.0,10.0,上海市
418,120.856856,31.103895,74.0,10.0,上海市
419,120.856909,31.104979,75.0,10.0,上海市
420,120.858079,31.107654,76.0,10.0,上海市
421,120.857914,31.108523,77.0,10.0,上海市
422,120.858858,31.108697,78.0,10.0,上海市
423,120.860219,31.109325,79.0,10.0,上海市
424,120.861371,31.110895,80.0,10.0,上海市
425,120.862247,31.112503,81.0,10.0,上海市
426,120.863235,31.113263,82.0,10.0,上海市
427,120.864015,31.113842,83.0,10.0,上海市
428,120.86502,31.114142,84.0,10.0,上海市
429,120.865965,31.114746,85.0,10.0,上海市
430,120.868713,31.117263,86.0,10.0,上海市
431,120.870593,31.119712,87.0,10.0,上海市
432,120.871018,31.121529,88.0,10.0,上海市
433,120.871018,31.123803,89.0,10.0,上海市
434,120.871548,31.125691,90.0,10.0,上海市
435,120.872345,31.127158,91.0,10.0,上海市
436,120.873394,31.128031,92.0,10.0,上海市
437,120.87479,31.129463,93.0,10.0,上海市
438,120.876429,31.131489,94.0,10.0,上海市
439,120.877686,31.132397,95.0,10.0,上海市
440,120.878744,31.133379,96.0,10.0,上海市
441,120.880357,31.134151,97.0,10.0,上海市
442,120.881293,31.134721,98.0,10.0,上海市
443,120.898009,31.135921,99.0,10.0,上海市
444,120.899215,31.136053,100.0,10.0,上海市
445,120.905395,31.134205,101.0,10.0,上海市
446,120.906402,31.134272,102.0,10.0,上海市
447,120.908382,31.134676,103.0,10.0,上海市
448,120.912619,31.135415,104.0,10.0,上海市
449,120.916919,31.13619,105.0,10.0,上海市
450,120.921628,31.138008,106.0,10.0,上海市
451,120.930336,31.14141,107.0,10.0,上海市
452,120.952645,31.138253,108.0,10.0,上海市
453,120.974469,31.133634,109.0,10.0,上海市
454,120.983911,31.13171,110.0,10.0,上海市
455,120.985697,31.13185,111.0,10.0,上海市
456,120.991255,31.133177,112.0,10.0,上海市
457,121.007268,31.133425,113.0,10.0,上海市
458,121.017043,31.133993,114.0,10.0,上海市
459,121.018489,31.134097,115.0,10.0,上海市
460,121.0193,31.134571,116.0,10.0,上海市
461,121.022811,31.138311,117.0,10.0,上海市
462,121.022271,31.140462,118.0,10.0,上海市
463,121.022907,31.140932,119.0,10.0,上海市
464,121.025677,31.140773,120.0,10.0,上海市
465,121.026243,31.142084,121.0,10.0,上海市
466,121.026618,31.142624,122.0,10.0,上海市
467,121.027192,31.14266,123.0,10.0,上海市
468,121.026723,31.143766,124.0,10.0,上海市
469,121.028368,31.143873,125.0,10.0,上海市
470,121.028804,31.142463,126.0,10.0,上海市
